NAME                                     STATUS   AGE
cattle-ai-agent-system                   Active   44h
cattle-capi-system                       Active   46h
cattle-fleet-clusters-system             Active   46h
cattle-fleet-local-system                Active   46h
cattle-fleet-system                      Active   46h
cattle-global-data                       Active   46h
cattle-impersonation-system              Active   46h
cattle-local-user-passwords              Active   46h
cattle-neuvector-system                  Active   104m
cattle-oidc-client-secrets               Active   45h
cattle-oidc-codes                        Active   45h
cattle-scc-system                        Active   45h
cattle-system                            Active   46h
cattle-turtles-system                    Active   46h
cattle-ui-plugin-system                  Active   46h
cert-manager                             Active   46h
cluster-fleet-local-local-1a3d67d0a899   Active   46h
default                                  Active   46h
fleet-default                            Active   46h
fleet-local                              Active   46h
kube-node-lease                          Active   46h
kube-public                              Active   46h
kube-system                              Active   46h
local                                    Active   46h
p-4xvw8                                  Active   46h
p-9z7mz                                  Active   46h
user-zhkpm                               Active   46h
