NAME                                     STATUS   AGE
cattle-ai-agent-system                   Active   47h
cattle-capi-system                       Active   2d
cattle-fleet-clusters-system             Active   2d
cattle-fleet-local-system                Active   2d
cattle-fleet-system                      Active   2d
cattle-global-data                       Active   2d
cattle-impersonation-system              Active   2d
cattle-local-user-passwords              Active   2d
cattle-neuvector-system                  Active   4h22m
cattle-oidc-client-secrets               Active   2d
cattle-oidc-codes                        Active   2d
cattle-scc-system                        Active   2d
cattle-system                            Active   2d
cattle-turtles-system                    Active   2d
cattle-ui-plugin-system                  Active   2d
cert-manager                             Active   2d
cluster-fleet-local-local-1a3d67d0a899   Active   2d
default                                  Active   2d
demo-light                               Active   83m
fleet-default                            Active   2d
fleet-local                              Active   2d
kube-node-lease                          Active   2d
kube-public                              Active   2d
kube-system                              Active   2d
local                                    Active   2d
p-4xvw8                                  Active   2d
p-9z7mz                                  Active   2d
user-zhkpm                               Active   2d
